text,label
Estoy cansado de que la gente diga que tengo mala cara.,2
@userpor... pienso verla después de la segunda de Daredevil.,1
Happy is Cool,0
Ya no es tan interesante.,2
"@usuario Me gustaría recordarte que soy un hombre de normas - equivocado, pero tengo normas.",1
@Users @Users @Users @Users Con un pequeño donativo puedes hacer felices a miles de niñas que no lo tienen #asociacionmariloli,0
"Probé una nueva espuma para el pelo y me lo rizó más, pero parecía laca y eso no me gustó.",2
"@user Ojalá hubiera podido estar ahí para abrazarte hoy, o al menos estar contigo. Siento lo de tu primo.",1
"@user Este es el amor de mi vida, alias la preciosa chica egipcia que está aprendiendo español. Os llevareis muy bien @user",0
@User Somos dos. Es triste.,2
"JUAS dice ahora que van a tener una oportunidad con Tracer y su novia. Porque siempre se puede caer un poco más bajo, ¿no?",1
"#2YearsLegionHolk Llevo aquí unos 8 meses quizás menos o más, no sé me enseñaron y mostraron que LH es algo mágico",0
"🌼 Severus Snape 🌼 - pobre hombre - nunca lo odié, parecía duro e injusto pero sabía que algo no estaba bien ....",2
¡¡¡¡@usuario son las letras de chevre!!!! ¿Sabes qué día es mañana? ....,1
Miss #Digital #Arte #Vida @ Escuela Superior de Arte y Tecnología (ESAT) http,0
Estoy harto de estas cenizas. Me arden los ojos.,2
¿Es posible aprender motion graphics en #Barcelona sin que me cuesten los riñones? Alguien conoce un sitio así?,1
"@user No, yo tampoco soy un friki.",0
"En resumen, me aburre el 90% de ellos.",2
¡@user jajajaja que tierno! Me alegré mucho cuando supe que nos iban a dejar un disco antes de que TOP fuera a misa.,1
@usuario Ya está planeando algo nuevo. Je je je.,0
"@user Jo, estoy tan emocionada.",2
Si U han cerrado todo ...... Estoy disponible hasta el lunes.,1
Hoy toca escuchar a #MiguelRios junto a otros grandes artistas....  #Resurrección...,0
"@user @user ¿Qué te pasa ...... Jajajajajaja, esto me está volviendo loco, esto va a ser malo.",2
@usuario Katy le gustaba en Instagram y mi rt y fueron vistos juntos hace dos días.,1
"Me voy a jugar mi clasificación de los 10 primeros. Bueno, no sé si la voy a liar, pero Bronce V me espera, y mañana jugaré muy poco o nada, así que venid a jugar.",0
"Cuando le dije a Bun que me había bronceado, se rió de mí.",2
@Usuarios @Usuarios @Usuarios @Usuarios ¡Lo importante es saber cuándo! Si necesita evitar las compras en el extranjero,1
¡Sin duda @user Ha sido una gran experiencia @user @user y vendrán muchas más!,0
"Como sé que te interesa mucho, te lo cuento: aceptó ir a ver una película, pero me habló de un chico y me dejó claro que estaban saliendo.",2
Cómo mantener una larga conversación con alguien durante toda la noche,1
Go-Pro de alta calidad! Protectores subacuáticos y reposacabezas tan caros como tengo muchos ...... ¡Muy bien!,0
Sé que la pena de muerte no es buena. Pero ¿qué demonios podemos hacer con los violadores? No veo otra solución.,2
@User se llama Wolf y es la mascota de #SeSalen para los paralímpicos Más información http 😃,1
"Por suerte hay trabajo, salud y vacaciones.",0
@user Impresionante. Lástima que hoy no haya podido fotografiar la puesta de sol .... ¡P.d gracias guapiño!,2
"Este viernes voy al cine a ver #NoRespires y a celebrar mi cumpleaños. Por cierto, no estás invitado.",1
"Bonito brazalete, amigo.",0
Es una pena que un tema tan delicado como @usuario no se haya tratado nunca de esta manera.,2
"Me gustas mucho - tienes que jugar más conmigo y Russell - por qué tan Otoko, deja de ser Otoko - vamos a ver si estoy muerto.",1
@usuario Felicitaciones largamente esperadas y gracias de corazón.,0
"Es más, no tiene seguridad social, que en su caso no es obligatoria. Leer, los libros no muerden",2
"Estos días estoy intentando sobrellevar la sensación de ""no me soporto"", ¡es una tortura! No soy yo mismo. #damnandres",1
@usuario Que hermosa y educada persona para darte un fuerte abrazo 🤗.,0
"@user En España, la prensa no es ni libre, ni independiente, ni pluralista.",2
"@user Aparte de los típicos saludos navideños, tengo una pregunta más: ¿pasan la Navidad juntos o separados con sus familias? Saludos desde Lima",1
¡Feliz Navidad @usuario Felino! ¡Jajaja! ¡Saludos y abrazos a la familia!,0
Mis pantalones se rasgan desde el nivel de los muslos hasta justo debajo de las caderas... Estoy empezando a ser popular.,2
"¡Estimados @usuarios! Somos el primer Centro de Ozonoterapia en el Perú, ofreciendo una amplia gama de servicios terapéuticos.",1
¡¡¡¡¡FF A la gran gente de @user!!!!!,0
"90% Para los que realmente amamos todo este universo japonés, aunque la transferencia parece tener un final feliz mmm",2
"Estaría bien tener una Gopro, pero no salgo de casa, así que no tiene mucho sentido.",1
"2: Sí, eres mi flechazo absoluto, aunque te considero uno de mis mejores amigos.",0
"Nunca dejes tu fb abierto y nunca dejes a tu hermana a tu lado, ¡es peligroso!",2
"Tantos ritmos en el restaurante #DonMarcelo Si estás en #Cusco, no olvides pasar por @Plaza de...",1
@usuario Google se asegura entonces de que el contenido (bien escrito) se asocie a consultas de búsqueda (mal escritas).,0
"Uy, quería grabar un poco de Drown con el ukelele porque he oído que es preciosa. Pero mi voz es terrible.",2
"@usuario Para proyectar desde el público a la pantalla del concierto #MTVDcode2016, causando confusión.",1
"@user ¡Qué bien, me has abierto el apetito! Sólo un poco de aceituna debe ser negra.",0
"Sin embargo, como no tengo nada en común, por supuesto nadie me va a meter en un grupo ni nada.",2
Me gusta ir a Chepén para estar con la familia de Kike. Lo que no me gusta es tener que trabajar el próximo lunes.,1
"Bueno, gracias a algunos de vosotros (casi gratis) por confiarme vuestra salud este año (un año más) para no poneros muy enfermos jaja, mentira, ¡mucha salud!",0
"¡Qué le pasa a @usuario, no puede estar en Twitter y WhatsApp a la vez, las dos cosas son igual de buenas y le falta una!",2
"Evalúa a su compañero de intercambio. Te hace preguntas sobre tu vida amorosa. Escuchas ""brillas"" de León Larregui.",1
Hace tres días que me uní a @user y hoy acabo de rodar mi segundo clip 1080 desde lo alto de un ala de caza. http,0
Cuando te lamieron la cara 😢,2
"@user la divaza te cansa toda la noche, no te deja dormir.",1
"Tengo un perro adorable... ¿Sabías que cuando me voy a la cama, se viene conmigo al dormitorio?",0
